categoria,cat_principal,nombre,ean,precio,precio_texto,fecha
Almacen,Almacen,3ds queso x 85 gr.,7790310985830,3981.0,"$3.981,00",20260901
Almacen,Almacen,3ds queso x143gr.,7790310985137,5545.0,"$5.545,00",20260901
Almacen,Almacen,3ds sabor queso x 43 gm,7790310985113,2469.0,"$2.469,00",20260901
Almacen,Almacen,ac. de oliva zuccardi x 500 ml coratina,7791728246629,24484.0,"$24.484,00",20260901
Almacen,Almacen,ac.de coco entrenuts x200virg.,763571722428,9649.0,"$9.649,00",20260901
Almacen,Almacen,ac.ol.l.toscana x250ml.ajo,7798080520657,9903.0,"$9.903,00",20260901
Almacen,Almacen,ac.ol.l.toscana x250ml.albahac,7798080520534,9903.0,"$9.903,00",20260901
Almacen,Almacen,ac.ol.zuccardi x250ml.coratina,7791728246612,14282.0,"$14.282,00",20260901
Almacen,Almacen,ac.ol.zuccardi x250ml.picual,7791728246575,14282.0,"$14.282,00",20260901
Almacen,Almacen,ac.ol.zuelo x500ml.bot.intenso,7791728241181,19077.0,"$19.077,00",20260901
Almacen,Almacen,acaitunas goya x 149 gm con pimiento picante,41331014922,10139.0,"$10.139,00",20260901
Almacen,Almacen,aceite arcor x900ml.maiz,7790580160807,5911.0,"$5.911,00",20260901
Almacen,Almacen,aceite cocinero mezcla x1.5lt.,7790070225023,5873.0,"$5.873,00",20260901
Almacen,Almacen,aceite cocinero olivay girasol x 1.5 litros,7790070231604,9335.58,"$9.335,58",20260901
Almacen,Almacen,aceite cocinero puro de oliva x 500 ml,7790070265142,10919.0,"$10.919,00",20260901
Almacen,Almacen,aceite cocinero x900 ml oliva y girasol,7790070231598,5809.0,"$5.809,00",20260901
Almacen,Almacen,aceite copisi x 900 ml. girasol y oliva,7790272006819,6162.0,"$6.162,00",20260901
Almacen,Almacen,aceite de coco entrenuts neutro x 360 ml.,656750783931,8902.0,"$8.902,00",20260901
Almacen,Almacen,aceite de coco entrenuts virgen x 360 ml.,763571722435,16512.0,"$16.512,00",20260901
Almacen,Almacen,aceite de girasol alsamar x 5 lts.,7794870000040,22784.0,"$22.784,00",20260901
Almacen,Almacen,aceite de girasol alto oleico granix x 750 ml.,7790045823780,6831.0,"$6.831,00",20260901
Almacen,Almacen,"aceite de girasol cocinero x 1,5 lt.",7790060023684,7393.0,"$7.393,00",20260901
Almacen,Almacen,aceite de girasol cocinero x 900 ml.,7790070012050,4666.0,"$4.666,00",20260901
Almacen,Almacen,"aceite de girasol legitimo x 1,5 lt.",7798316700815,6691.0,"$6.691,00",20260901
Almacen,Almacen,aceite de girasol legitimo x 3 lt.,7798316700822,13637.0,"$13.637,00",20260901
Almacen,Almacen,aceite de girasol legitimo x 5 lts.,7798316700839,22784.0,"$22.784,00",20260901
Almacen,Almacen,aceite de girasol legitimo x 900 ml.,7798316700808,4133.0,"$4.133,00",20260901
Almacen,Almacen,"aceite de girasol natura x 1,5 lt.",7790272001029,7520.0,"$7.520,00",20260901
Almacen,Almacen,aceite de girasol natura x 3 lt.,7790272001036,14739.0,"$14.739,00",20260901
Almacen,Almacen,aceite de girasol natura x 900 ml.,7790272001005,4750.0,"$4.750,00",20260901
Almacen,Almacen,aceite de maiz lira x 900 ml.,7790070231697,5457.0,"$5.457,00",20260901
Almacen,Almacen,aceite de maiz mazola x 900 ml.,7790272000794,5565.0,"$5.565,00",20260901
Almacen,Almacen,aceite de oliva  zuelo x 950 ml lata original,7791728248708,33410.0,"$33.410,00",20260901
Almacen,Almacen,aceite de oliva altavia extra virgen lata x 500 ml,7792900807522,16194.0,"$16.194,00",20260901
Almacen,Almacen,aceite de oliva casalta extra virgen suave x 400 .,7790139004569,24838.99,"$24.838,99",20260901
Almacen,Almacen,aceite de oliva casalta medio x 400 ml.,7790139004576,24838.99,"$24.838,99",20260901
Almacen,Almacen,aceite de oliva cocinero extra virgen x 500 ml suave,7790070231871,12929.0,"$12.929,00",20260901
Almacen,Almacen,aceite de oliva cocinero extra virgen x 500 ml.,7790070265098,12905.0,"$12.905,00",20260901
