ean,nombre,categoria,cat_principal,precio,fecha
7790310985830,3ds queso x 85 gr.,Almacen,Almacen,3471.0,20260220
7790310985137,3ds queso x143gr.,Almacen,Almacen,4877.0,20260220
7791728246629,ac. de oliva zuccardi x 500 ml coratina,Almacen,Almacen,23165.0,20260220
763571722428,ac.de coco entrenuts x200virg.,Almacen,Almacen,9649.0,20260220
7791728246612,ac.ol.zuccardi x250ml.coratina,Almacen,Almacen,13162.0,20260220
7791728246575,ac.ol.zuccardi x250ml.picual,Almacen,Almacen,13162.0,20260220
7791728241181,ac.ol.zuelo x500ml.bot.intenso,Almacen,Almacen,18743.0,20260220
7790070231598,aceite cocinero x900 ml oliva y girasol,Almacen,Almacen,5809.0,20260220
7790272006819,aceite copisi x 900 ml. girasol y oliva,Almacen,Almacen,5589.0,20260220
656750783931,aceite de coco entrenuts neutro x 360 ml.,Almacen,Almacen,8484.0,20260220
763571722435,aceite de coco entrenuts virgen x 360 ml.,Almacen,Almacen,16512.0,20260220
7794870000040,aceite de girasol alsamar x 5 lts.,Almacen,Almacen,18622.0,20260220
7798316700907,aceite de girasol alsamar x 900 ml.,Almacen,Almacen,3381.0,20260220
7790045823780,aceite de girasol alto oleico granix x 750 ml.,Almacen,Almacen,5927.0,20260220
7790070012050,aceite de girasol cocinero x 900 ml.,Almacen,Almacen,3556.0,20260220
7798316700815,"aceite de girasol legitimo x 1,5 lt.",Almacen,Almacen,5553.0,20260220
7798316700822,aceite de girasol legitimo x 3 lt.,Almacen,Almacen,11435.0,20260220
7798316700839,aceite de girasol legitimo x 5 lts.,Almacen,Almacen,18622.0,20260220
7798316700808,aceite de girasol legitimo x 900 ml.,Almacen,Almacen,3381.0,20260220
7790070231420,"aceite de girasol lira x 1,5 lt.",Almacen,Almacen,6285.0,20260220
7790070231468,aceite de girasol lira x 900 ml.,Almacen,Almacen,3783.0,20260220
7790272001029,"aceite de girasol natura x 1,5 lt.",Almacen,Almacen,6147.0,20260220
7790272001036,aceite de girasol natura x 3 lt.,Almacen,Almacen,12048.0,20260220
7790070231697,aceite de maiz lira x 900 ml.,Almacen,Almacen,6492.0,20260220
7790272000794,aceite de maiz mazola x 900 ml.,Almacen,Almacen,5385.0,20260220
7790139004828,aceite de oliva casalta extra virgen medio x 250 .,Almacen,Almacen,17500.0,20260220
7790139004811,aceite de oliva casalta extra virgen suave x 250 m,Almacen,Almacen,17500.0,20260220
7790139004569,aceite de oliva casalta extra virgen suave x 400 .,Almacen,Almacen,26863.0,20260220
7790139004576,aceite de oliva casalta medio x 400 ml.,Almacen,Almacen,26863.0,20260220
7790070265135,aceite de oliva cocinero ol. puro p. x 1 litro,Almacen,Almacen,21347.0,20260220
7798080521265,aceite de oliva con limon la toscana x 250 ml.,Almacen,Almacen,9774.0,20260220
7798123974812,"aceite de oliva cortijo extra virgen x 1,5 lts.",Almacen,Almacen,54000.0,20260220
7798123971385,aceite de oliva cortijo x 250 ml.,Almacen,Almacen,13000.0,20260220
7792070001614,aceite de oliva extra virgen nucete x 500 ml.,Almacen,Almacen,16708.0,20260220
7791728246650,aceite de oliva familia zuccardi x 250 ml. varieda,Almacen,Almacen,17901.0,20260220
7791728246537,aceite de oliva flia. zuccardi x 250 ml. variedadd,Almacen,Almacen,13162.0,20260220
7793551002212,aceite de oliva marvavic extra virgen x 500 ml.,Almacen,Almacen,16737.0,20260220
7790272008387,aceite de oliva natura andino x 500 ml.,Almacen,Almacen,17391.0,20260220
7790272008417,aceite de oliva natura fuerte x 500 ml.,Almacen,Almacen,14907.0,20260220
7790272008394,aceite de oliva natura suave x 500 ml.,Almacen,Almacen,14907.0,20260220
7792070001652,aceite de oliva nucete clasico extra virgen x 250.,Almacen,Almacen,9481.0,20260220
7798089050254,aceite de oliva pignani clasico x 500 ml vidrio,Almacen,Almacen,14514.0,20260220
7798183790063,aceite de oliva pignani premium x 500 ml,Almacen,Almacen,19214.0,20260220
7791728246582,aceite de oliva zuccardi x 500 gm picual,Almacen,Almacen,23165.0,20260220
7791728246544,aceite de oliva zuccardi x 500 ml genovesa,Almacen,Almacen,23165.0,20260220
7791728022049,aceite de oliva zuelo x 500 ml. original,Almacen,Almacen,18743.0,20260220
7790060234868,aceite mezcla cocinero x 900 ml.,Almacen,Almacen,2821.0,20260220
7790272000046,aceite natura girasol y oliva x 900 ml.,Almacen,Almacen,6240.0,20260220
7793551001970,aceitunas marvavic en trozos con pimiento ppizza,Almacen,Almacen,2820.0,20260220
7793551001550,aceitunas marvavic negras con carozo x 160 gm,Almacen,Almacen,2349.0,20260220
2024580000005,aceitunas marvavic negras con carozo x kg.,Almacen,Almacen,16623.0,20260220
2024600000008,aceitunas marvavic negras griegas x kg.,Almacen,Almacen,18199.0,20260220
2024590000002,aceitunas marvavic negras sin carozo x kg.,Almacen,Almacen,18902.0,20260220
7793551000669,aceitunas marvavic rellenasmorron x 90gr,Almacen,Almacen,2259.0,20260220
2024650000003,aceitunas marvavic verdes con carozo x kg.,Almacen,Almacen,9599.0,20260220
7793551001864,aceitunas marvavic verdes descarozadas x 300 gr.,Almacen,Almacen,2602.0,20260220
2024640000006,aceitunas marvavic verdes descarozadas x kg.,Almacen,Almacen,17442.0,20260220
2024660000000,aceitunas marvavic verdes en rodajas x kg.,Almacen,Almacen,17397.0,20260220
7793551001437,aceitunas marvavic verdes fileteadas x 200 gr.,Almacen,Almacen,1753.0,20260220
2024610000005,aceitunas marvavic verdes rellenas x kg.,Almacen,Almacen,15290.0,20260220
7793551000188,aceitunas negras en salmuera marvavic x 200 gr.,Almacen,Almacen,5063.0,20260220
7793551001895,aceitunas negras enteras marvavic x 180 gr.,Almacen,Almacen,2574.0,20260220
7793551000645,aceitunas negras marvavic x 100 gr.,Almacen,Almacen,2007.0,20260220
7792070004615,aceitunas negras scarozo nucete light x 360 gr.,Almacen,Almacen,4115.0,20260220
7790127000306,aceitunas negras vanoli x 300 gr.,Almacen,Almacen,2549.0,20260220
7792070071693,aceitunas nucete  verdes doy pack mini x 90 gm d,Almacen,Almacen,1924.0,20260220
7792070011149,aceitunas nucete negra doy pack x 300 gm con carozo.,Almacen,Almacen,2709.04,20260220
7792070000532,aceitunas nucete negras con carozo x 200 gr.,Almacen,Almacen,3448.0,20260220
